"frequency";"r S[6,6]";"i S[6,6]"
7e+08;-0.824392;0.544893
7.01301e+08;-0.823837;0.546068
7.02603e+08;-0.823251;0.547251
7.03904e+08;-0.822639;0.548441
7.05205e+08;-0.822002;0.549633
7.06507e+08;-0.821343;0.550825
7.07808e+08;-0.820666;0.552014
7.09109e+08;-0.819972;0.553197
7.1041e+08;-0.819261;0.554374
7.11712e+08;-0.81854;0.555547
7.13013e+08;-0.81781;0.556715
7.14314e+08;-0.817069;0.55788
7.15616e+08;-0.81632;0.559041
7.16917e+08;-0.815566;0.560197
7.18218e+08;-0.814806;0.561351
7.1952e+08;-0.814039;0.562501
7.20821e+08;-0.813265;0.563646
7.22122e+08;-0.812486;0.564788
7.23423e+08;-0.811702;0.565927
7.24725e+08;-0.810915;0.567065
7.26026e+08;-0.810125;0.5682
7.27327e+08;-0.809331;0.569334
7.28629e+08;-0.808535;0.570466
7.2993e+08;-0.807734;0.571598
7.31231e+08;-0.806928;0.572726
7.32533e+08;-0.806119;0.573852
7.33834e+08;-0.805306;0.574977
7.35135e+08;-0.804491;0.576101
7.36436e+08;-0.803673;0.577225
7.37738e+08;-0.802854;0.578348
7.39039e+08;-0.802031;0.579471
7.4034e+08;-0.801206;0.580594
7.41642e+08;-0.800378;0.581715
7.42943e+08;-0.799545;0.582835
7.44244e+08;-0.798709;0.583955
7.45546e+08;-0.79787;0.585075
7.46847e+08;-0.797029;0.586194
7.48148e+08;-0.796185;0.587314
7.49449e+08;-0.795339;0.588435
7.50751e+08;-0.794491;0.589555
7.52052e+08;-0.793639;0.590676
7.53353e+08;-0.792783;0.591794
7.54655e+08;-0.791924;0.592912
7.55956e+08;-0.791062;0.59403
7.57257e+08;-0.790197;0.59515
7.58559e+08;-0.78933;0.596269
7.5986e+08;-0.78846;0.59739
7.61161e+08;-0.787587;0.59851
7.62462e+08;-0.786711;0.599632
7.63764e+08;-0.785833;0.600753
7.65065e+08;-0.784949;0.601872
7.66366e+08;-0.784062;0.602991
7.67668e+08;-0.783173;0.604111
7.68969e+08;-0.78228;0.605232
7.7027e+08;-0.781385;0.606354
7.71572e+08;-0.780487;0.607476
7.72873e+08;-0.779586;0.608598
7.74174e+08;-0.778682;0.609721
7.75475e+08;-0.777775;0.610844
7.76777e+08;-0.776863;0.611965
7.78078e+08;-0.775948;0.613086
7.79379e+08;-0.77503;0.614208
7.80681e+08;-0.774109;0.615331
7.81982e+08;-0.773186;0.616454
7.83283e+08;-0.77226;0.617579
7.84585e+08;-0.771331;0.618704
7.85886e+08;-0.770399;0.619831
7.87187e+08;-0.769464;0.620957
7.88488e+08;-0.768522;0.622082
7.8979e+08;-0.767577;0.623207
7.91091e+08;-0.766631;0.624333
7.92392e+08;-0.765679;0.62546
7.93694e+08;-0.764726;0.626588
7.94995e+08;-0.763769;0.627716
7.96296e+08;-0.762809;0.628846
7.97598e+08;-0.761846;0.629976
7.98899e+08;-0.76088;0.631107
8.002e+08;-0.759907;0.632235
8.01502e+08;-0.758931;0.633364
8.02803e+08;-0.757951;0.634494
8.04104e+08;-0.756969;0.635625
8.05405e+08;-0.755983;0.636756
8.06707e+08;-0.754993;0.637889
8.08008e+08;-0.754001;0.639021
8.09309e+08;-0.753006;0.640156
8.10611e+08;-0.752007;0.641292
8.11912e+08;-0.751002;0.642424
8.13213e+08;-0.749992;0.643557
8.14515e+08;-0.748979;0.644692
8.15816e+08;-0.747963;0.645826
8.17117e+08;-0.746943;0.646961
8.18418e+08;-0.745919;0.648099
8.1972e+08;-0.744893;0.649236
8.21021e+08;-0.743862;0.650374
8.22322e+08;-0.742828;0.651513
8.23624e+08;-0.741789;0.652651
8.24925e+08;-0.740744;0.653788
8.26226e+08;-0.739696;0.654926
8.27528e+08;-0.738645;0.656065
8.28829e+08;-0.73759;0.657205
8.3013e+08;-0.736531;0.658346
8.31431e+08;-0.735469;0.659487
8.32733e+08;-0.734401;0.66063
8.34034e+08;-0.733331;0.661776
8.35335e+08;-0.732256;0.662919
8.36637e+08;-0.731174;0.664062
8.37938e+08;-0.730089;0.665204
8.39239e+08;-0.728999;0.666347
8.40541e+08;-0.727905;0.667492
8.41842e+08;-0.726807;0.668637
8.43143e+08;-0.725706;0.669782
8.44444e+08;-0.724598;0.670931
8.45746e+08;-0.723489;0.67208
8.47047e+08;-0.722374;0.67323
8.48348e+08;-0.721254;0.674379
8.4965e+08;-0.720127;0.675526
8.50951e+08;-0.718996;0.676676
8.52252e+08;-0.71786;0.677825
8.53554e+08;-0.716719;0.678973
8.54855e+08;-0.715576;0.680126
8.56156e+08;-0.714426;0.681278
8.57457e+08;-0.713273;0.682431
8.58759e+08;-0.712112;0.683585
8.6006e+08;-0.71095;0.68474
8.61361e+08;-0.70978;0.685895
8.62663e+08;-0.708607;0.687047
8.63964e+08;-0.707425;0.688201
8.65265e+08;-0.706238;0.689355
8.66567e+08;-0.705049;0.690511
8.67868e+08;-0.703853;0.69167
8.69169e+08;-0.702652;0.692827
8.7047e+08;-0.701449;0.693987
8.71772e+08;-0.700236;0.695149
8.73073e+08;-0.699021;0.696312
8.74374e+08;-0.697795;0.697474
8.75676e+08;-0.696565;0.698636
8.76977e+08;-0.695327;0.699799
8.78278e+08;-0.694085;0.70096
8.7958e+08;-0.692835;0.702125
8.80881e+08;-0.691578;0.70329
8.82182e+08;-0.690315;0.704458
8.83483e+08;-0.689046;0.705625
8.84785e+08;-0.687774;0.706794
8.86086e+08;-0.686492;0.707966
8.87387e+08;-0.685203;0.709135
8.88689e+08;-0.683905;0.710304
8.8999e+08;-0.682598;0.711473
8.91291e+08;-0.681284;0.712641
8.92593e+08;-0.679963;0.713814
8.93894e+08;-0.678634;0.714982
8.95195e+08;-0.677296;0.716158
8.96496e+08;-0.675952;0.717331
8.97798e+08;-0.674598;0.718508
8.99099e+08;-0.673238;0.719685
9.004e+08;-0.671868;0.720865
9.01702e+08;-0.670481;0.722035
9.03003e+08;-0.66909;0.72321
9.04304e+08;-0.667683;0.724388
9.05606e+08;-0.666269;0.725563
9.06907e+08;-0.664845;0.726742
9.08208e+08;-0.663409;0.727917
9.0951e+08;-0.661961;0.729092
9.10811e+08;-0.660503;0.730273
9.12112e+08;-0.659032;0.731451
9.13413e+08;-0.657547;0.73263
9.14715e+08;-0.656047;0.733808
9.16016e+08;-0.654529;0.734984
9.17317e+08;-0.652992;0.736153
9.18619e+08;-0.651446;0.737327
9.1992e+08;-0.649875;0.738493
9.21221e+08;-0.648289;0.739665
9.22523e+08;-0.646685;0.740829
9.23824e+08;-0.645061;0.741991
9.25125e+08;-0.643412;0.743156
9.26426e+08;-0.641734;0.744316
9.27728e+08;-0.640033;0.74547
9.29029e+08;-0.638301;0.746607
